scn_name,Projekt,Projekt_id,Startpunkt,Endpunkt,Spannung,s_nom ,cables,NOVA,geom
extension_NEP2035_B2,P22,,Conneforde,Unterweser,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P22,,Unterweser,Elsfleth,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P26,,Umspannwerk Kernkraftwerk Brunsbüttel,Konverterstation Büttel,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P26,,Konverterstation Büttel,Umspannwerk Wilster,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P26,,Umspannwerk Wilster,Dollern,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P40,,Graustein ,Umspannwerk Bärwalde,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P44,,Umspannwerk Altenfeld,Landesgrenze TH/BY,380,4740,6,Netzverstärkung: Stromkreisauflage/Umbeseilung,
extension_NEP2035_B2,P44,,Landesgrenze TH/BY,Grafenrheinfeld,380,4740,6,Netzausbau: Neubau in neuer Trasse,
extension_NEP2035_B2,P113,,Krümmel,Lüneburg,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P113,,Lüneburg,Stadorf,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P113,,Stadorf,Wahle,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P123,,Umspannwerk DD-Süd,Umspannwerk Schmölln,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P133,,Umspannwerk Borken,Umspannwerk Gießen Nord,380,2370,3,Netzverstärkung: Stromkreisauflage/Umbeseilung,
extension_NEP2035_B2,P159,,Station Bürstadt,BASF,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P161,,Umspannwerk Großkrotzenburg,Umspannwerk Urberach,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P172,,Umspannwerk Gundelfingen,Vöhringen Amprion,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P173,,Vöhringen Amprion,Umspannwerk Dellmensingen,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P176,,380-kV-Umspannwerk Eichstetten,FR,380,2370,3,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P180,,Umspannwerk Marzahn,Umspannwerk Friedrichshain,380,2200,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P180,,Umspannwerk Friedrichshain,Berlin/Mitte,380,2200,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P180,,Berlin/Mitte,Umspannwerk Charlottenburg,380,2200,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P180,,Umspannwerk Charlottenburg,Umspannwerk Reuter,380,2200,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P180,,Umspannwerk Reuter,Teufelsbruch,380,2200,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P200,,Punkt Blatzheim,Station Oberzier,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P201,,Station Sankt Peter 220 kV,Station Norf,220,1040,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P202,,Station Hattingen,Station Wanne,380,1790,3,Netzverstärkung: Stromkreisauflage/Umbeseilung,
extension_NEP2035_B2,P203,,Amelsbüren,Station Gersteinwerk,380,1790,3,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P204,,Tiengen,CH,380,1790,3,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P205,,380-kV-Umspannwerk Eichstetten,Lastverteilung/Schaltanlage Kühmoos,380,4740,3,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P206,,Umspannwerk Gurtweil,Umspannwerk Stockach,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P206,,Umspannwerk Stockach,Beuren,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P211,,Umspannwerk Gießen Nord,Umspannwerk Karben,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P214,,Umspannwerk Streumen,Umspannwerk Röhrsdorf,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P215,,Bentwisch HGÜ,Güstrow,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P216,,Güstrow,Siedenbrünzow,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P216,,Siedenbrünzow,Umspannwerk Windpark Iven,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P216,,Umspannwerk Windpark Iven,Umspannwerk Lubmin,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P216,,Umspannwerk Windpark Iven,Pasewalk,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P217,,UW Jessen Nord,Umspannwerk Ragow,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P218,,Umspannwerk Weida,Eula,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P218,,Eula,Umspannwerk Röhrsdorf,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P219,,Umspannwerk Lauchstädt,Umspannwerk Marke,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P219,,UW Jessen Nord,Umspannwerk Lauchstädt,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
extension_NEP2035_B2,P220,,Umspannwerk Streumen,Eula,380,4740,6,Netzverstärkung: Neubau in bestehender Trasse,
decommissioning_NEP2035_B2,P40,,,,380,1790,,,0105000020E610000001000000010200000039000000151450F234F22C40A86219D12CC74940151450F234F22C40A86219D12CC74940566FC3DE7AF32C40F657D98871C749401C9E5E29CBF42C4078B6476FB8C74940C841AE79FAF52C40B14DCF60F8C74940CB98CCC2E8F72C4014460E6CF0C749402EB3637EC9F92C406C6281AFE8C74940D608580630FC2C403512FCCADEC7494015CF34BCB4FC2C4053358B6198C7494078C6AD388BFD2C401CC0119326C7494053F5865682FC2C4018B08971A3C649406F13EE9579FB2C40CCD9965C20C64940C29B7F057AFA2C4059E1968FA4C54940CD9F257E7BF92C407AA86DC328C54940BF7E2D54A3F82C4060D09DBBB8C44940A621F47D82F52C407BA290099DC44940713A6E9D24F22C40675EB3017DC44940FA635A9BC6EE2C40DC114E0B5EC44940894A7E1F69EB2C4039831A193FC449401F9F35E444E82C401F2EDE3422C449402856FC9584E62C40D66A5908BCC34940E1A4C409A7E42C40D8FBE82F4FC349405B1CDF28C3E22C40B74604E3E0C249404809B07E22E12C40FF6CF5E681C24940701B576D48E12C40E4F2C418FDC14940CE5A65016EE12C40A59C798379C1494067F4A3E194E12C40EA08E066F1C04940F48304D6BBE12C40E31FB6F468C049400ACF9552E1E12C40F623EAAAE5BF4940798D02E907E22C40D69695815EBF4940E38E37F92DE22C4032DD3532D9BE4940902F46C950E22C4053FAF83A5FBE4940278D2CF41CE42C40B2362108EBBD4940951A35BADEE52C4004A5B27279BD494063E822CF3FE72C4043249E4720BD49408F2BE400B0E82C40084C9649C3BC4940EBDED4511FEA2C409618158266BC4940A34C593CABEB2C409A000D8002BC494055D0A39872EC2C403D629923D0BB4940917AF42B42EE2C4067D3B6065BBB4940D1A79F81A2EF2C408E3EE60302BB4940AF2BC13D2AF12C40B5E21B0A9FBA49401689096AF8F22C4097E9F2412ABA494002220E23CEF42C40F2E4E48FB3B94940035251AB9EF62C40B1B9B42B3EB949407936F5CB71F82C4041248D1BC8B84940EE693D320CFA2C40CFE7926060B84940DC0539DED3FB2C406922C731EDB74940577435C357FD2C40EF10B5238BB74940D02EDFFAB0FE2C40391E7DDD33B749408A69954F45002D40382163A4CDB64940BD00FBE8D4012D4042CCCA9B68B64940BE5708066B032D401DCBBBEA01B64940E975D54D73042D4045A40117BFB549405FE27E7676042D403E0AD7A370B54940BBFF7EE7CD032D403BEBAE473CB54940BBFF7EE7CD032D403BEBAE473CB54940
