,otg_id,electrical_capacity,geom
1,24853,0,0101000020E61000005226687231EE1D4061DF26274EA04A40
2,27805,0.63,0101000020E6100000A0F23FD0AD582440DBF2215E550C4940
3,26554,35.32,0101000020E610000090A23383E6BD22406F1A1A644A234940
4,24356,0,0101000020E610000053C5970CA1601C404A8D41568D7B4940
5,26508,5.93,0101000020E6100000EA528E1FECC52240B75CAFE87B544940
6,24708,366.01,0101000020E6100000B33FA88B63E21D40C32633DBFC364940
7,25748,0.61,0101000020E61000009E7E79C900F62140B0FDE1B193884940
8,25291,0,0101000020E61000003B9750B3A1A41D40D156B21E7FBE4940
9,23851,0,0101000020E61000003FD2D4A0101E2140069E551199354940
10,24961,6.18,0101000020E6100000D337F05B5E502440C37EF1A784D94940
11,28180,0.60,0101000020E6100000217CE587F3892140B26BD0B8E3584840
12,24173,0,0101000020E6100000DCFA5CD202B424401F36500FB8274A40
13,26024,0,0101000020E6100000D0869FDA75F1224098F6F3ABE4FD4940
14,26793,369.59,0101000020E6100000E10824DD55EA21407F3A6DA1FB0C4940
15,25894,0,0101000020E6100000BAFBCCFCC22B254058288944EEBF4840
16,25570,5.73,0101000020E61000001C0D46EB37251D40DAD871A854CC4A40
17,25332,0,0101000020E6100000A5AB314A362B2240B6372DD4CEFD4840
18,27012,4142.12,0101000020E6100000AD9D3CA5FCE92340862F4906903B4840
19,25872,36.94,0101000020E6100000B798E8E216AC274066B85F7F99DF4740
20,26962,0,0101000020E6100000E9ADEAA93BC520404861FFCBE24C4940
21,28402,0,0101000020E61000002ADB78577D0221407B11862FF15A4A40
22,28390,5.98,0101000020E6100000C56FD28FBB112940EE18266775FF4740
23,26573,0,0101000020E61000006A286DCD48072140F682969A153D4940
24,26206,0,0101000020E61000001D741097E8132240571AFD89E22B4940
25,27237,0,0101000020E6100000C71ACF3B87622540032570EBD5774940
26,24124,0,0101000020E6100000B4DAC94DD9F919401A72A054156E4940
27,26206,0,0101000020E6100000036D7E1288662240A4AE2C0F4B364940
28,24645,0,0101000020E610000005B9D13CDB242640EB47781DFAD44840
29,23929,0,0101000020E61000001CDEF4D1C5CD244073DDD7EEBE304A40
30,26795,0,0101000020E610000057E3E9859A0722408EB730C4D82E4940
31,27641,0.57,0101000020E610000068DF993F8A922340848D34732D054940
32,24618,0.60,0101000020E6100000A4B9E65509802140C643CEDE5C3B4940
33,28204,0,0101000020E6100000B0D7348EA6991C4070418569A7544940
34,23827,0,0101000020E6100000C1C4706B4B952140C9C84491381B4940
35,27031,375.72,0101000020E6100000253BFD4DD3CA2240F0025FC8B9B74940
36,26245,0,0101000020E6100000F9179A02B8AA1A405A6AE6A868EB4940
37,25827,0,0101000020E610000076AD9E952A451C4052B927FBE2AB4940
38,24158,0,0101000020E610000096562460C7C51B40C03741308B954940
39,28233,0,0101000020E6100000A4348E1D5A651B405C545A807A9B4940
40,25046,0,0101000020E61000002C3219EDE14022402FE14A3C76BC4940
41,24262,0,0101000020E6100000734A78BCD36B20409BA2E995869D4A40
42,24770,0,0101000020E6100000818CF2079A4F2040B705C638F1954A40
43,26508,0,0101000020E61000001711057E68E32240AB74864433504940
44,26796,0,0101000020E6100000048DA79FE24E2340798476BD4A424940
45,27847,0,0101000020E6100000EE4C2504DE5B24405AEFADF636F24840
46,26397,16.93,0101000020E61000007356DA528C0224404F38688C82024940
47,25939,0,0101000020E6100000F23A45555BCF23401E668EC2160B4940
48,27847,0,0101000020E6100000EE4C2504DE5B24405AEFADF636F24840
49,26397,0,0101000020E61000009128B992F00424407F2291F8BAFB4840
50,27805,0.60,0101000020E6100000A0F23FD0AD582440DBF2215E550C4940
51,23948,0,0101000020E61000009370517DA6281940F0E7912859964940
52,26294,0,0101000020E6100000CB3F7E13A4E418404864684B8C614940
53,24518,369.81,0101000020E610000002AB212FA80219406FB336751B674940
54,26110,0,0101000020E6100000178C26695D9D21409DDD2D7B3AF74740
55,24128,0,0101000020E6100000F3AC01D8774B2140C8BEA2B40FFF4940
56,25058,0,0101000020E61000001C4730AF80C421405139D3F218064A40
57,27919,0,0101000020E6100000D9274732A2912240083D1571C8A44940
58,28015,0,0101000020E6100000CBFE57781A2B2240CDBC870DAD954940
59,27010,37.98,0101000020E6100000B85967E12D5622405D92195ECEA94940
60,24935,0.58,0101000020E6100000002ED1946DCB2240898C2960FE874940
61,27919,0,0101000020E61000009DF7461F38A12240ACDF2A0CAB9D4940
62,27010,17.54,0101000020E610000056671FD64A43224092495B0F3C9F4940
63,27919,6.04,0101000020E61000006E09368C76C02240B64B2E693BA34940
64,25961,0,0101000020E61000001BA6EAB31E2A1A40A567AE6B9D9E4940
65,25933,0,0101000020E610000040DD0D388BF9194046B6CC4B08A94940
66,25941,636.08,0101000020E6100000CCA6F046B82E1A407523866EFAA64940
67,25775,0,0101000020E61000008A0DA7C2438B1A406AB2A4EA6B964940
68,28214,0,0101000020E6100000C9F7945EAF171B40A335005948994940
69,26686,0,0101000020E6100000B4927E143AA81B403233208400C04940
70,27887,393.07,0101000020E6100000F7B05633E2D01A406079EBE08FAC4940
71,26720,0,0101000020E61000003346FCB6D0D21A400931652740E94840
