,capacity,full_capacity,subst_id,hv_bus_id
0,1825.4,,1,26096
1,429.91999999999996,,2,26097
4,555.37,,5,26099
6,18353.15,,7,26101
8,5730.099999999999,,9,26106
9,0.6,,10,26109
10,8708.84,,11,26110
15,0.59,,16,26116
16,632.59,,17,26118
17,560.28,,18,26121
18,4473.65,,19,28196
21,3173.96,,22,26169
22,369.02,,23,26186
23,620.8399999999999,,24,26212
24,1726.0500000000002,,25,26302
28,773.8,,29,26359
34,1999.38,,35,26392
35,196.37,,36,27648
36,648.76,,37,26465
38,175.2,,39,26469
39,2713.72,,40,26470
40,5336.53,,41,26471
42,1386.6,,43,26497
43,1175.6,,44,28211
44,6697.45,,45,26535
48,777.49,,49,26603
49,0.59,,50,26605
50,2094.13,,51,26612
53,0.59,,54,26804
54,2204.19,,55,26852
56,3488.41,,57,27140
58,206.16,,59,28180
59,0.61,,60,28250
60,1921.71,,61,27220
62,1807.7600000000002,,63,27239
63,643.65,,64,27240
71,1435.58,,72,27304
73,2067.39,,74,27353
74,4466.2699999999995,,75,23695
75,3066.75,,76,23696
76,1484.0,,77,23697
77,2464.34,,78,23730
78,4570.16,,79,23731
79,2079.86,,80,23748
80,4216.59,,81,23752
81,4116.59,,82,27365
82,8436.86,,83,23769
83,6168.75,,84,23782
87,4371.58,,88,27397
89,368.35,,90,28005
90,1362.45,,91,24056
91,1024.94,,92,24089
92,12923.18,,93,24090
93,1183.72,,94,24096
94,1335.56,,95,24100
96,1965.28,,97,24110
97,624.83,,98,24123
99,1670.7400000000002,,100,24180
100,5815.93,,101,24188
102,1352.3,,103,24190
103,377.79,,104,24213
104,1974.6699999999998,,105,24339
105,1326.13,,106,24417
106,1807.95,,107,24463
107,371.66,,108,24464
108,2391.39,,109,24466
109,7774.98,,110,24471
110,0.57,,111,24495
112,4991.14,,113,24497
114,1362.32,,115,24510
115,1406.36,,116,24512
116,664.8,,117,24514
117,177.47,,118,24517
118,1429.13,,119,28361
119,4226.59,,120,24529
120,1328.57,,121,27918
121,2497.25,,122,24539
122,1006.68,,123,24582
123,1677.15,,124,28362
124,1398.67,,125,24635
125,646.91,,126,27506
126,4464.28,,127,24647
127,6671.16,,128,24650
128,1039.1200000000001,,129,24675
129,1689.21,,130,24711
130,2174.05,,131,24712
131,172.66,,132,24733
132,1922.94,,133,28339
134,173.89,,135,24766
135,1218.8,,136,24783
136,4657.459999999999,,137,24796
138,2692.12,,139,28341
139,1324.51,,140,24818
140,366.31,,141,24819
141,346.03999999999996,,142,24832
142,1978.67,,143,24833
150,360.48,,151,24987
152,1314.44,,153,25003
153,1579.74,,154,25011
154,375.87,,155,27578
158,2925.63,,159,25098
159,1438.45,,160,27754
160,1709.3700000000001,,161,25126
161,666.8,,162,25173
162,6033.73,,163,25184
163,533.61,,164,25190
164,4056.4900000000002,,165,25200
165,3376.28,,166,25211
166,6958.839999999999,,167,25213
167,2885.83,,168,25214
168,1376.17,,169,25224
169,1374.94,,170,25229
170,1.23,,171,25337
171,1747.6499999999999,,172,23649
172,4128.64,,173,25377
173,813.01,,174,25416
174,654.51,,175,25420
176,2680.92,,177,27671
177,361.46,,178,25515
180,388.41,,181,25550
182,0.58,,183,25615
183,1145.49,,184,25619
187,2913.19,,188,25657
188,1316.08,,189,25681
189,762.5699999999999,,190,25707
190,1547.73,,191,25708
192,647.34,,193,25755
194,1209.65,,195,25960
195,4752.110000000001,,196,25964
196,567.52,,197,25966
197,40.88,,198,26716
198,274.52,,199,26857
199,284.02000000000004,,200,27818
200,243.34,,201,27000
201,292.51,,202,28017
202,785.04,,203,27927
203,853.9,,204,27797
204,627.53,,205,27720
205,1938.7700000000002,,206,24077
206,2739.58,,207,24361
207,1961.58,,208,24467
208,474.91999999999996,,209,24470
209,183.95000000000002,,210,24472
210,345.87,,211,27603
211,677.47,,212,24481
212,1476.22,,213,24488
213,2644.4500000000003,,214,24489
214,283.95,,215,24491
215,677.36,,216,27705
216,840.24,,217,24505
217,1006.6300000000001,,218,27539
218,466.62,,219,27543
219,1423.03,,220,24901
220,2627.57,,221,24913
221,2576.74,,222,24914
222,2297.5600000000004,,223,24915
223,910.4599999999999,,224,24922
224,483.43000000000006,,225,27799
225,2242.4500000000003,,226,25258
226,1039.3899999999999,,227,25394
227,305.07,,228,25396
228,2064.38,,229,25605
229,1375.35,,230,27902
230,620.82,,231,27678
231,178.78,,232,26318
232,163.41,,233,26322
233,2177.09,,234,26344
234,906.28,,235,26380
235,740.72,,236,27825
236,1321.5100000000002,,237,27626
237,1471.1599999999999,,238,26508
238,164.94,,239,26513
239,2522.07,,240,26536
240,1150.47,,241,26555
241,802.12,,242,26556
242,1553.94,,243,26582
243,1725.32,,244,26588
244,916.69,,245,26769
245,1522.1799999999998,,246,26796
246,1981.4899999999998,,247,26810
247,1328.79,,248,26843
248,1967.8500000000001,,249,26859
249,749.0799999999999,,250,26954
250,851.58,,251,26978
251,171.68,,252,27005
252,374.88,,253,27009
253,1146.73,,254,27605
254,1530.3200000000002,,255,27010
255,2793.4399999999996,,256,27919
256,4519.599999999999,,257,27028
257,2237.64,,258,27031
258,1852.0300000000002,,259,27032
259,370.04,,260,27034
260,3176.4700000000003,,261,27036
261,1052.03,,262,27175
262,176.03,,263,27179
263,1441.49,,264,27205
264,1059.75,,265,27211
265,823.76,,266,27215
266,1047.12,,267,27310
267,912.3199999999999,,268,27858
268,4393.24,,269,23796
269,793.04,,270,23798
270,1996.2599999999998,,271,23809
271,800.64,,272,23810
272,2437.98,,273,23824
273,1429.2,,274,27388
274,203.01,,275,23876
275,680.95,,276,23907
276,1954.86,,277,23937
277,728.6600000000001,,278,27439
278,943.3700000000001,,279,27440
279,1555.7299999999998,,280,27450
280,1326.3600000000001,,281,24197
281,1734.32,,282,27459
283,52.839999999999996,,284,24214
284,556.12,,285,27464
285,2034.19,,286,24223
286,1778.0700000000002,,287,24224
