bus_id;station_id;voltage;dc;symbol;country;under_construction;geometry
1;2;380;f;Substation;IQ;f;POINT(43.7146 36.129002)
2;3;380;f;Substation;IQ;f;POINT(43.967285 35.46067)
3;4;380;f;Substation;IQ;f;POINT(44.813232 31.456782)
4;5;380;f;Substation;IQ;f;POINT(43.967285 32.184911)
5;6;380;f;Substation;IQ;f;POINT(44.01123 32.704111)
6;7;380;f;Substation;IQ;f;POINT(44.439697 33.449777)
7;8;380;f;Substation;IQ;f;POINT(44.219971 33.806538)
8;9;380;f;Substation;IQ;f;POINT(44.494629 33.715202)
9;10;380;f;Substation;IQ;f;POINT(44.088135 33.669497)
10;11;380;f;Substation;IQ;f;POINT(45.20874 32.42634)
11;16;300;f;Substation;RU;f;POINT(48.153076 42.032974)
12;17;300;f;Substation;AZ;f;POINT(48.88916 41.211722)
13;18;380;f;Substation;IR;f;POINT(44.472656 38.030786)
14;19;380;f;Substation;TR;f;POINT(43.758545 39.078908)
15;20;380;f;Substation;TR;f;POINT(43.725586 37.848833)
16;21;132;f;Substation;TR;f;POINT(44.088135 39.707187)
17;22;132;f;Substation;RU;f;POINT(48.482666 41.828642)
18;23;132;f;Substation;IR;f;POINT(44.813232 39.172659)
19;24;132;f;Substation;IR;f;POINT(44.527588 38.728376)
20;25;132;f;Substation;TR;f;POINT(44.099121 38.942321)
21;26;132;f;Substation;AZ;f;POINT(48.702393 41.599013)
22;27;380;f;Substation;AM;f;POINT(44.055176 40.838749)
23;28;132;f;Substation;TN;f;POINT(10.140381 36.73008)
24;29;132;f;Substation;IL;f;POINT(35.046387 32.500496)
25;29;380;f;Substation;IL;f;POINT(35.046387 32.500496)
26;30;380;f;Substation;IT;f;POINT(8.492432 40.522151)
6723;7564;380;f;joint;#WERT!;;POINT(-0.977046660853815 37.9617462863245)
6724;7565;380;f;joint;#WERT!;;POINT(-0.76904300000001 39.436193)
6725;7566;380;f;joint;#WERT!;;POINT(-0.296630999999993 40.195659)
27;31;220;f;Substation;LY;f;POINT(15.249023 30.836215)
28;32;380;f;Substation;IQ;f;POINT(43.26416 35.995785)
29;33;380;f;Substation;IQ;f;POINT(42.758789 36.332828)
